                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1563,                 1.2953,                 1.1459,                0.89216,                0.87646,                0.93618,                0.65296,                 1.0454,                0.59738,                 1.0574,               0.070423,              0.0032864,              0.0032864
                      1,                0.95733,                0.65616,                0.99805,                0.86577,                0.90559,                0.92643,                0.64296,                 1.0057,                0.64941,                 1.0366,               0.040357,              0.0065542,              0.0065542
                      2,                 0.9695,                0.63805,                 1.0037,                0.89842,                0.89686,                0.95218,                0.69765,                 0.9809,                0.65584,                 1.0354,               0.010225,               0.009756,               0.009756
                      3,                0.97669,                  0.656,                 1.0142,                0.89907,                  0.919,                0.94647,                0.67936,                0.98651,                0.65703,                 1.0167,               0.009703,               0.009703,               0.009703
                      4,                0.96896,                0.60386,                 1.0162,                0.90025,                0.90465,                0.94777,                0.66861,                 1.0439,                0.61014,                 1.0698,               0.009703,               0.009703,               0.009703
                      5,                0.96599,                0.57024,                 1.0135,                0.90595,                0.91498,                0.95864,                0.70934,                0.96849,                 0.6013,                 1.0363,               0.009604,               0.009604,               0.009604
                      6,                0.93572,                0.54411,                 1.0098,                0.91774,                0.89067,                0.95497,                0.70635,                0.96762,                 0.5662,                  1.043,               0.009505,               0.009505,               0.009505
                      7,                0.92318,                0.54254,                  1.008,                 0.9103,                0.89977,                0.95298,                0.67662,                 1.0391,                0.60941,                 1.0818,               0.009406,               0.009406,               0.009406
                      8,                0.91744,                0.52905,                 1.0056,                0.90133,                0.90268,                0.95416,                0.71822,                0.94721,                0.53822,                 1.0419,               0.009307,               0.009307,               0.009307
                      9,                0.89073,                0.51165,                0.99379,                 0.9348,                0.89802,                0.95735,                0.71838,                0.92106,                0.52923,                 1.0263,               0.009208,               0.009208,               0.009208
                     10,                0.90579,                0.51352,                0.99188,                0.88629,                0.94023,                0.96292,                0.70717,                0.97715,                0.52808,                 1.0308,               0.009109,               0.009109,               0.009109
                     11,                0.88437,                0.50978,                0.98411,                0.89862,                0.90734,                0.95763,                0.73359,                0.92353,                0.54646,                 1.0209,                0.00901,                0.00901,                0.00901
                     12,                0.86576,                0.49119,                0.98065,                  0.926,                0.89103,                0.95563,                0.70559,                0.98292,                0.56161,                 1.0613,               0.008911,               0.008911,               0.008911
                     13,                0.88005,                0.48762,                0.98162,                0.91414,                0.88729,                0.94977,                0.71898,                0.95446,                0.55599,                 1.0274,               0.008812,               0.008812,               0.008812
                     14,                0.85913,                0.47889,                0.98962,                0.91589,                0.90385,                0.96181,                0.74081,                 0.9133,                0.51054,                 1.0221,               0.008713,               0.008713,               0.008713
                     15,                0.85267,                0.47063,                0.97943,                0.91588,                0.92006,                0.96079,                0.72609,                0.92752,                0.52913,                   1.03,               0.008614,               0.008614,               0.008614
                     16,                0.85249,                0.45475,                0.98399,                0.91118,                0.91375,                 0.9525,                0.73547,                0.91085,                0.52101,                 1.0258,               0.008515,               0.008515,               0.008515
                     17,                 0.8389,                0.45151,                0.97271,                0.93893,                0.88696,                0.95655,                0.73204,                0.91626,                0.54943,                 1.0245,               0.008416,               0.008416,               0.008416
                     18,                0.82348,                0.44832,                0.97886,                0.92883,                0.88928,                0.94915,                0.69948,                0.97484,                0.55043,                  1.068,               0.008317,               0.008317,               0.008317
                     19,                0.82048,                0.44309,                0.98055,                0.91754,                0.91428,                0.96015,                0.72817,                0.93337,                0.50778,                 1.0372,               0.008218,               0.008218,               0.008218
                     20,                0.81707,                0.43877,                0.97736,                0.91518,                0.90793,                0.95084,                0.72425,                 0.9277,                0.53154,                 1.0501,               0.008119,               0.008119,               0.008119
                     21,                0.80422,                0.42963,                0.97555,                0.91911,                0.90048,                0.96295,                0.74609,                0.91402,                0.50524,                 1.0301,                0.00802,                0.00802,                0.00802
                     22,                0.81333,                0.42637,                0.97148,                0.90743,                 0.9197,                0.96396,                0.73619,                 0.9341,                0.50184,                 1.0359,               0.007921,               0.007921,               0.007921
                     23,                0.80355,                0.42759,                0.96396,                0.92904,                0.89685,                0.95904,                0.72858,                 0.9308,                0.50742,                 1.0369,               0.007822,               0.007822,               0.007822
                     24,                0.78525,                0.41677,                0.95596,                0.91892,                0.91317,                0.96035,                0.73046,                0.94627,                 0.4991,                 1.0412,               0.007723,               0.007723,               0.007723
                     25,                0.78712,                0.41795,                0.95389,                0.91361,                0.89161,                0.95485,                0.72882,                0.92627,                0.50841,                 1.0333,               0.007624,               0.007624,               0.007624
                     26,                 0.7815,                 0.4083,                0.95244,                0.92308,                0.88869,                0.95964,                0.73171,                  0.962,                0.50714,                 1.0517,               0.007525,               0.007525,               0.007525
                     27,                0.76333,                0.40621,                0.95164,                0.93504,                0.88636,                0.95717,                0.72768,                0.91461,                0.50824,                 1.0261,               0.007426,               0.007426,               0.007426
                     28,                0.76591,                0.39814,                0.94767,                0.90758,                0.91563,                0.95576,                0.73703,                0.90811,                0.48475,                 1.0201,               0.007327,               0.007327,               0.007327
                     29,                0.75892,                0.39129,                0.94497,                0.91959,                0.90559,                0.95785,                0.73463,                0.90618,                0.49649,                  1.026,               0.007228,               0.007228,               0.007228
                     30,                0.76304,                0.39938,                0.94957,                0.90495,                0.91841,                0.95137,                0.71892,                0.94321,                0.50185,                 1.0478,               0.007129,               0.007129,               0.007129
                     31,                0.76462,                0.38718,                0.94163,                0.91359,                0.90909,                0.96236,                0.74618,                0.91382,                0.48923,                 1.0204,                0.00703,                0.00703,                0.00703
                     32,                0.75367,                0.39381,                0.94303,                0.91595,                0.90443,                0.95852,                0.74217,                0.89621,                0.49788,                 1.0219,               0.006931,               0.006931,               0.006931
                     33,                0.75338,                0.38163,                0.94454,                0.92089,                0.91581,                0.95765,                0.74045,                0.90933,                0.48976,                 1.0268,               0.006832,               0.006832,               0.006832
                     34,                0.73509,                0.37464,                0.93347,                0.91635,                0.89802,                0.95183,                0.75105,                 0.8956,                0.52125,                 1.0231,               0.006733,               0.006733,               0.006733
